study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_types_tested,hpv_cat,hpv_test,test_details,num_older_wom,num_hpv_pos,num_hpv_neg,any_prev,risk_of_bias,Notes
1O,"Tsedenbal et al., 2018","Human papillomavirus genotyping among women with cervical abnormalities in Ulaanbaatar, Mongolia",cross-sectional ,2017,Asia,Central Asia,Mongolia ,Ulaanbaatar,Both ,Predominantly normal ,conventional ,clinical setting ,overall ,"6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84",II,LA,"L1 consensus PCR with Line-blot assay, Roche Linear Array test",25,9,16,0.36,low,"just overall HPV positivity reported by age for 55+; HR-HPV+ and genotyping data only for both populations, not just 55+"
2OG,"Çolakoğlu et al., 2017",Human papilloma virus (HPV) prevalence and genotype distribution,retrospective,2015,Asia,Western Asia,Turkiye,Adana,Both ,Predominantly normal ,LBC,screening ,"16, 18, overall ","6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84",II,LA,"L1 consensus PCR with Line-blot assay, Roche Linear Array test",52,23,29,0.442,high,overall HPV positivity reported by age for 50+ as well HR-HPV data for 50+ population
3O,"Demirci et al., 2019","Human Papillomavirus Prevalence and Genotype Distribution
among Turkish Women with or Without Cervical Lesion",cross-sectional ,2017,Asia,Western Asia,Turkiye,Istanbul,Both ,Predominantly normal ,LBC,clinical setting ,overall ,"6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84",II,LA,"L1 consensus PCR with Line-blot assay, Roche Linear Array test",282,63,219,0.223,low,"age groups are only reported 50-59, 60-69, 70+"
4OG,"Dutta et al, 2012","Prevalence of Human Papillomavirus in Women Without
Cervical Cancer: A Population-based Study in Eastern India",cross-sectional ,2010,Asia,Southern Asia,India,West Bengal,Both ,Predominantly normal ,conventional,screening ,"16, 18, overall ","6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84 ",II,MY09/11,"GeneAmp PCR System
9700 (Applied BioSystems, Foster City, CA) using
primers from the L1 consensus region of the HPV
genome and AmpliTaq Gold Taq DNA polymerase
(10). MY 09/11 primers of the L1 region",114,11,103,0.096,high,"age groups are only reported 45-54, 55-65"
5OH,"Herrero et al., 2000","Population-Based Study of Human Papillomavirus
Infection and Cervical Neoplasia in Rural Costa Rica",prospective,1994,Americas,Central America,Costa Rica,Guancaste,Both ,Predominantly normal ,conventional,general population,"overall, HR-HPV","2, 6, 11, 13, 16, 18, 26, 31, 32, 33, 34, 35, 39, 40, 42,
43, 45, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 72, 73",II,MY09/11,"PCR with the MY09/
MY11 L1 consensus primers",417,69,348,0.165467626,low,"data for 55-64, 65+ from Figure 1"
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45,
51, 52, 53, 56, 58, 59, 66, 68, 73, 82, 6, 11, 42, 43, 81, 83",II,other PCR,PCR-RDB HPV gentotyping for 23 types kit (Yaneng),1851,745,1106,0.402,high,"age groups are only reported for 50-54, 55-59, 60+"
7O,"Li, P. et al., 2021","Characteristics of human papillomavirus
infection among women with cervical
cytological abnormalities in the Zhoupu District, Shanghai City, China, 2014–2019",retrospective,2019,Asia,Eastern Asia,China,"Zhoupu, Shanghai",Both ,Predominantly normal ,LBC,clinical setting ,overall,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68, 6, 11, 42, 43, 44, 81",II,other PCR,PCR membrane hybridization that can detect 21 types,3601,677,2924,0.188,high,"age groups are only reported for 50-60, 60+ and overall HPV, no age related breakdown for HR-HPV "
8O,"Li, XF. et al., 2021","Cervical human papillomavirus infection, genotyping and the
relationship with the results of Thinprep Cytology Test in 9174
female physical examinees in Xi'an, China",cross-sectional ,2019,Asia,Eastern Asia,China,Xi'an,both ,Predominantly normal ,LBC,clinical setting ,overall ," 16, 18, 31,
33, 35, 39, 45, 51, 52, 56, 58, 59, 68, 73, 82, 26, 53, and 66, 
 6, 11, 40, 42, 43, 44, 54, 61, 81, 83",II,other PCR,PCR reverse dot hybridization,3279,405,2874,0.124,high,"age groups are reported 51-60, 60 +;  no age related breakdown for HR-HPV "
9O,"Nuñez-Troconis et al., 2009","Prevalence and risk factors of human
papillomavirus infection in asymptomatic
women in a Venezuelan urban area.",cross-sectional ,2005,Americas ,South America,Venezuela,Maracaibo,both ,Predominantly normal ,NA,clinical setting ,overall ,"
16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68,
6, 11, 42, 43, 44",II,HC2,Hybrid Capture 2,25,6,19,0.24,high,"overall information for women 55+, table 2"
10OHG,"Richter et al., 2013","Age-specific prevalence of cervical human
papillomavirus infection and cytological abnormalities in women in Gauteng Province, South Africa",cross-sectional ,2011,Africa,Southern Africa,South Africa,Gauteng,Both ,Predominantly normal ,conventional,screening,"overall, HR-HPV, 16, 18, 16/18","6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84",II,LA,"HPV linear array (LA) genotyping kit (Roche
Molecular Systems, Branchburg, NJ).",325,137,189,0.42,low,NA
11O,"Souho et al., 2016","Distribution of Carcinogenic Human
Papillomavirus Genotypes and Association to
Cervical Lesions among Women in Fez
(Morocco)",cross-sectional ,2014,Africa,Northern Africa,Morocco,Fez,Both ,Predominantly normal ,LBC,clinical setting ,"Overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 53,
68, 73, 82",II,GP5+/GP6+,broad spectrum primer set GP5+/GP6+ ,240,124,116,0.517,low,HR-HPV infection rate reported  49.21971% (50-59years) and 58.644% (60+years). Figure 1 
13O,"Tezcan et al., 2014",Human Papillomavirus Genotype Distribution and E6/ E7 Oncogene Expression in Turkish Women with Cervical Cytological Findings,cross-sectional ,2013,Asia,Western Asia,Turkiye,Mersin,Both ,Predominantly normal ,LBC,clinical setting ,Overall,"66,16, 6, 31, 53, 83, 62, 18, 45, 54, 81, 11, 40, 56, 58, 61, 70, 82, 84",II,MY09/11 and GP5+/GP6+,"MY09/MY11, GP5+/GP6+",53,13,40,0.245,high,"overall HPV + reported by age 55+, table 3; genotype breakdown only for overall population not by age group"
14O,"Donkoh et al., 2022","Prevalence and Distribution of
Vaccine-Preventable Genital Human
Papillomavirus(HPV) Genotypes in Ghanaian
Women Presenting for Screening",cross-sectional ,2014,Africa,Western Africa,Ghana,Kumasi,Both ,Predominantly normal ,conventional ,general population,Overall ,"16, 18, 26, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82",II,PCR E6/E7,nested multiplex polymerase chain reaction (NMPCR) assay incorporating degenerate E6/E7 consensus primers,71,26,45,0.363,high,Supplemenatry S2/S3 are reported to have age related trends in HPV prevalence
15O,"Maehama et al., 2002","Prevalence of human papillomavirus in cervical swabs in the Okinawa Islands, Japan",cross-sectional ,NA,Asia,Eastern Asia,Japan,Okinawa Prefecture,Both ,Predominantly normal ,NA,screening ,Overall,"6, 11, 16, 18, 31, 35, 52, 58, ",I,PCR L1 or E1,"L1 consensus primers, The HPV
types were identified by PCR using the primers designed from the
sequence of the E1 genes",2524,265,2259,0.105,low,"Figure 1 and 2, used plotdigitizer"
16OHG,"Brotherton et al., 2015",Human papillomavirus prevalence to age 60 years among Australian women prevaccination,cross-sectional ,2008,Oceania,Australia and New Zealand,Australia,NA,Both ,Predominantly normal ,LBC,clinical setting ,"Overall, HR-HPV, 6/11/16/18, 16/18","6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84 ",II,PGMY09/11,"PGMY09/11-based HPV consensus polymerase chain
reaction/ELISA, were genotyped as described previously
using LINEAR ARRAY HPV Genotyping Test",135,23,112,0.17,low,"Table 1 for HPV data by age available from 51-55, 56-60"
17O,"Ahmadi et al., 2020",Evaluation of the Prevalence of Human Papillomavirus in Asymptomatic Patients at the Women’s Clinic in Hamadan and Comparing the 2 Methods of Pap Smear and PCR in Detecting the Virus,cross-sectional ,NA,Asia,Southern Asia,Iran,Hamadan,Both ,Predominantly normal ,LBC,clinical setting ,Overall ,"6, 11, 16, 18, 31, 33, 35, 39, 42, 43, 44, 45, 51, 52, 56, 58, 59, 66, 68",II,other PCR,"high-pure viral nucleic acid kit
(Roche Company) to extract the genetic material",40,6,34,0.148,high,"Table 2, age group breakdown only by overall prevalence"
18OHG,"Andujar et al., 2020","Prevalence and genotype distribution of
cervical human papilomavirus infection
in the pre-vaccination
era: a population-based
study in the Canary Islands",cross-sectional ,2007,Europe,Southern Europe,Spain,Canary Islands,Both ,Predominantly normal ,conventional ,screening,"Overall, HR-HPV, 16/18, 6/11/16/18/31/33/45/52/58","66, 16, 6, 31, 53, 83, 62, 18, 45, 54, 81, 11, 40, 56, 58, 61, 70, 82, 84",II,PGMY09/11 and GP5+/GP6+,"PGMY09/11, GP5+/GP6+, Linear Array Genotyping  test and INNO-LIPA HPV Genotyping Extra Amp Kit",1601,129,1472,0.081,low,"Table 2 for overall HPV prevalance and HRHPV prevalence; age group data for 50-54, 55-59, 60-65 for overall HPV and HR-HPV"
19OH,"Ardhaoui et al., 2016","Prevalence, Genotype Distribution and Risk
Factors for Cervical Human Papillomavirus
Infection in the Grand Tunis Region, Tunisia",cross-sectional ,2013,Africa ,Northern Africa,Tunisia,Grand Tunis,Both ,Predominantly normal ,LBC,clinical setting ,"Overall, HR-HPV, 6, 40, 55, 70, 16, 31, 35, 39, 52, 53, 59, 68, 89, 66","6, 11, 16, 18, 26, 31, 33, 34, 35, 39, 40, 42, 44, 45, 51, 52,
53, 54, 55, 56, 57, 58, 59, 66, 68, 69, 70, 73, 82, 83, 84",II,PGMY09/11 and GP5+/GP6+,"PGMY09/11, GP5+/GP6+; Reverse Line Hybridization genotyping",47,8,39,0.17,low,Table 3 for HPV data breakdown by age and overall HPV prevalence
20OH,"Balanda et al., 2016","Prevalence of human papillomavirus infection among women presenting for cervical cancer screening in Chile, 2014–2015",cross-sectional ,2015,Americas,South America,Chile,Santiago,Both ,Predominantly normal ,conventional ,screening,"Overall, HR-HPV","6, 11, 16, 18, 26, 31, 33, 34, 35, 39, 40, 42, 43, 44, 45, 51,
52, 53, 54, 55, 56, 57, 58, 59, 69, 66, 68, 70, 73, 82, 83, 84",II,PGMY09/11,"Reverse
Line Blot (PCR-RLB). PCR using PGMY09 and biotinlabeled
PGMY11",349,27,322,0.077,low,Table 2 for overall HPV prevalance and HRHPV prevalence by age groups
21OH,"Baloch et al., 2017","Prevalence and risk factors for human
papillomavirus infection among Chinese ethnic
women in southern of Yunnan, China",cross-sectional ,2017,Asia,Eastern Asia,China,Yunnan,Both ,Predominantly normal ,LBC,general population,"Overall, HR-HPV","16, 18, 31, 33, 35, 39,45, 51, 52, 53, 56, 58, 59, 66, 68, 53, 66, 81,6,11, 42, 43, 44, 61",II,PGMY09/11 and GP5+/GP6+,"genotyping with geno array test, and direct sequencing",108,18,90,0.167,low,Table 4 for overall HPV Prevalence and HR-HPV by age group (50+)
22O,"Bansal et al., 2014","Molecular epidemiology and genotype
distribution of Human Papillomavirus (HPV)
among Arab women in the state of Qatar",cross-sectional ,2014,Asia,Western Asia,Qatar,Doha,Both ,Predominantly normal ,LBC,clinical setting ,overall ,"6, 11, 16, 18, 31,
35, 39, 45, 51, 52, 56, 58, 59 ",II,GP5+/GP6+,RT-PCR kit for genotyping,362,26,336,0.072,low,"Table 2, only overall HPV+ presented by age group 55+"
23O,"Becker et al., 1991","Cervical Papillomavirus Infection and
Cervical Dysplasia in Hispanic, Native
American, and Non-Hispanic White
Women in New Mexico",cross-sectional ,1989,Americas,North America,USA,Albuquerque,Both ,Predominantly normal ,NA,clinical setting ,overall ,"6, 11, 16, 18, 31, 33, 35",I,other PCR,"ViraPap, dot hybridization test",33,0,33,0,high,"Table 2, only HPV test result by age group"
24OH,"Bell et al., 2007","There is a high prevalence of human papillomavirus infection in American
Indian women of the Northern Plains",cross-sectional ,NA,Americas,Northern Africa,USA,Northern Plains,Both ,Predominantly normal ,LBC and conventional,clinical setting ,"overall, HR-HPV","16, 18, 59, 39, 73, 58, 45, 31, 68, 56, 52, 51, 82, 35, 66, 11, 53, 72, 83, 71, 62, 61, 26, 89, 81, 70, 67, 55, 42",II,HC2,"Line Blot assay with the
Digene Hybrid Capture cervical specimen collector; L1 consensus primer system (Roche,
Indianapolis, IN)",24,4,20,0.167,high,Figure 2A
25OH,"Bi et al., 2015","Human Papillomavirus Prevalence and Genotypes Distribution Among Female Outpatients in Qingdao, East China",cross-sectional ,2014,Asia,Eastern Asia,China,Qingdao,Both ,Predominantly normal ,LBC,clinical setting ,"Overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58,
59, 66, 68, 73, 82, 83, 6, 11, 42, 43, 81",II,other PCR,"HPV Genotyping Kit (Yaneng Biotech), a PCR-based flow-through hybridization and gene chip system",1263,362,901,0.287,high,"Table 1 for HPV+ data by age available 51-60, 60+"
26OGP,"Borena et al., 2016","Pre-vaccine era cervical human
papillomavirus infection among screening
population of women in west Austria",cross-sectional ,2015,Europe,Western Europe,Austria,Tyrol,Both ,Predominantly normal ,LBC,clinical setting ,"Overall, 16, 18","16, 18, 31, 33, 35, 39,45, 51, 52, 53, 56, 58, 59, 66, 6, 11, 40, 42, 44, 53, 54, 62, 70, 73, 81, 82, 87, 89, 90",II,other PCR,"real-time PCR
that identifies the presence or absence of HPV DNA
(HPV RealQuality, AB Analitica, Padova, Italy",NA,NA,NA,0.09,low," Figure 2 gives the prevalence by age group, however it is difficult to determine the # of infected subjects because there is no breakdown of the # of subjects by age group. % prevlence on the Y axis?"
27OH,"Castellsague et al., 2012","Prevalence and Genotype Distribution of Human
Papillomavirus Infection of the Cervix in Spain:
The CLEOPATRE Study",cross-sectional ,2008,Europe,Western Europe,Spain,NA,Both ,Predominantly normal ,LBC,screening ,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68, 6, 11, 42, 43, 44",II,HC2,HC2,454,32,422,0.07,low,Table 2 for data on HPV prevalence by age group for both overall and HR-HPV+
28OH,"Castellsague et al., 2001","Human papillomavirus genotypes in
rural Mozambique",cross-sectional ,1999,Africa,Eastern Africa,Mozambique,NA,Both,Predominantly normal ,LBC,general population,"overall, HR-HPV","16, 18, 26, 31, 33, 35, 39,
45, 51, 52, 55, 56, 58, 59, 68, 6, 11, 40, 42, 53, 54, 57, 66",II,PGMY09/11 ,"PGMY09-PGMY11 primer
system in a reverse line-blot strip-based assay with high
sensitivity in type-specific amplification. All samples were also tested with HC2",41,9,32,0.22,low,Table 1 for data on HPV prevalence by age group for both overall and HR-HPV+ (same number for both so should it be recorded on both pages?)
