study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_types_tested,hr_hpv_nr,hr_hpv_cat,hpv_test,test_details,num_older_wom,num_hr_hpv_pos,hr_prev,risk_of_bias,Comments
1H,"Abulizi et al., 2021",At what age should the Uyghur minority initiate cervical cancer screening if screened using careHPV,cross-sectional ,2014,Asia,Eastern Asia,China,South Xinjang,Both ,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,other PCR,"careHPVTM
test (Qiagen Inc.)",1614,215,0.133,low,Used plot digitizer on Fig. 2
2H,"Bae et al., 2009",Natural history of persistent high-risk human papillomavirus infections in Korean women,prospective,2004,Asia,Eastern Asia,South Korea,Goyang,Both ,Predominantly normal ,conventional,screening,HR-HPV,"16,18,31,33,35,39,45, 51,52,56,58,59, 68",13,III,HC2,Full HPV genome detection by HC2 compared to PCR targeting L1,1815,100,0.055,low,"Age related data only available  for 55+ as 50-54 was lumped into the 45-54 group data; also only reported in ten year age groups 50-59, 60-69, and 70+"
3H,"Clarke et al, 2021","Age-specific prevalence of human papillomavirus and abnormal cytology at baseline in a diverse statewide prospective cohort of individuals undergoing cervical
cancer screening in Mississippi",prospective,2018,Americas,Northern America,USA,Mississippi,Both ,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68",14,III,"Multiple
","cobas 4800; TypeSeq; the two tests were used and 3123 subjects were tested with cobas (45.5% of pop), 3634 (56%) were tested with Type Seq",1118,185,0.165,low,"They use two HPV tests, so what to do in that case?  PlotDigitizer used on figure 1 to extrapolate prevalence and number positive"
4HG,"Yoshida et al., 2007","Quantitative real-time polymerase chain reaction analysis of the type distribution, viral load, and physical status of human papillomavirus in liquid-based cytology samples from cervical lesions",cross-sectional ,2004,Asia,Eastern Asia,Japan,Gunma,Both ,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 52, 58",7,II,PCR E6/E7,"conventional PCR. The primers for the E6
oncogene allowed the identification of at least seven
types of genital HPV DNA (16, 18, 31, 33, 35, 52, and
58)",148,30,0.203,high,only have data for 55+ as 50-54 was lumped into the 45-54 group data; visual data extrapolation with plotdigitizer on figure 1 and 3
5H,"Dalstein., 2009",HPV Persistence and load for HGSIL development,prospective,2002,Europe,Western Europe,France,Besançon,Both ,Predominantly normal ,conventional ,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68",14,III,HC2,Full HPV genome detection by HC2 compared to PCR targeting L1,77,13,0.169,high,NA
6H,"Ernstson et al., 2019",Detection of HPV mRNA in Self-collected Vaginal Samples Among Women at 69-70 Years of Age,cross-sectional ,2017,Europe,Northern Europe,Sweden,Lund,Older,Predominantly normal ,LBC,general population,HR-HPV," 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,PCR E6/E7,"Aptima HPV Assay (Hologic, Marlborough,
MA, USA); HPV E6/E7 mRNA from 14 high-risk
HPV types",433,27,0.062,low,data is only for women aged 69-70
7H,"Gage et al., 2012","The age-specific prevalence of human papillomavirus and risk
of cytologic abnormalities in rural Nigeria: Implications for
screen-and-treat strategies",cross-sectional ,2010,Africa,Western Africa,Nigeria,Irun,Both ,Predominantly normal ,LBC,general population,HR-HPV," 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,MY09/11,"Gold Taq and a modified MY09-MY11 PCR-based
method",555,79,0.142,low,"Figure 2, data presented for women 50-59, 60-60, 70+"
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",12,III,other PCR,hpViR multiplex real time PCR,1051,43,0.041,low,"Data is only for women aged 60-89, however there is not a detailed breakdown of HPV+ by age group"
5OH,"Herrero et al., 2000","Population-Based Study of Human Papillomavirus
Infection and Cervical Neoplasia in Rural Costa Rica",prospective,1994,Americas,Central America,Costa Rica,Guancaste,Both ,Predominantly normal ,conventional,general population,"overall, HR-HPV","2, 6, 11, 13, 16, 18, 26, 31, 32, 33, 34, 35, 39, 40, 42,
43, 45, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70,
72, 73, 83",13,III,MY09/11,"PCR with the MY09/
MY11 L1 consensus primers",417,8,0.018,low,"data for 55-64, 65+ from Figure 1"
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45,
51, 52, 53, 56, 58, 59, 66, 68, 73, 82, 6, 11, 42, 43, 81, 83",17,III,other PCR,PCR-RDB HPV genotyping for 23 types kit,1851,650,0.351,high,"age groups are only reported for 50-54, 55-59, 60+"
9H,"Lamin et al., 2019","Randomised healthcare policy
evaluation of organised primary human
papillomavirus screening of women
aged 56–60",prospective,2014,Europe,Northern Europe,Sweden,Stockholm-Gotland,Older,Predominantly normal ,LBC,screening,"16, 18, HR-HPV"," 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,Cobas,cobas 4800,7345,405,0.055,low,age group break down is not reported as the study poplation is aged 56-60
10H,"Lazcano-Ponce et al., 2010","A pilot study of HPV DNA and cytology testing in 50,159 women
in the routine Mexican Social Security Program",cross-sectional ,NA,Americas ,Central America,Mexico,Northern and Southern Mexico,Both ,Predominantly normal ,NA,general population,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58,
59, 68",13,III,HC2,hybrid capture 2 test,10997,852,0.077,low,"age group break down is reported for 51-55, 56-60, 60-70"
11H,"Leinonen et al., 2009","Age-Specific Evaluation of Primary Human
Papillomavirus Screening vs Conventional Cytology in a Randomized Setting",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both ,Predominantly normal ,conventional ,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58,
59, 68",13,III,HC2,hybrid capture 2 test,16130,737,0.046,low,only the primary HPV DNA screening arm is included because of the conventional screening arm only 25 were screened with primary HPV DNA test  
12H,"Li, C. et al., 2010","A Population-based Study on the Risks of Cervical Lesion and
Human Papillomavirus Infection among Women in Beijing,
People's Republic of China",cross-sectional ,2009,Asia,Eastern Asia,China,Beijing,Both ,Predominantly normal ,LBC,general population,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",13,III,MY09/11,"PCR MY09/11, hybrid capture 2 test",844,63,0.075,low,only age related data is overall HR-HPV for 50-54
