study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_test,num_older_wom,num_hpv_pos,num_hr_hpv_pos,hpv_type,num_type,type_prev,notes
4HG,"Yoshida et al., 2007","Quantitative real-time polymerase chain reaction analysis of the type distribution, viral load, and physical status of human papillomavirus in liquid-based cytology samples from cervical lesions",cross-sectional ,2004,Asia,Eastern Asia,Japan,Gunma,Both ,Predominantly normal ,LBC,clinical setting ,"HR-HPV, 16",PCR E6/E7,148,NA,30,16,3.6,0.024324324,"numbers are not reported in table format but as figures therefore there is a visual extrapolation done for % positivity, and data only separated for 55+ and 65+, because 50 is lost in the cat of 45-54"
2OG,"Çolakoğlu et al., 2017",Human papilloma virus (HPV) prevalence and genotype distribution,cross-sectional ,2015,Asia,Western Asia,Turkey,Adana,Both ,Predominantly normal ,LBC,screening,"16, 18 overall",LA,52,23,NA,"16,18",7,0.134615385,Table 2 
4OG,"Dutta et al, 2012","Prevalence of Human Papillomavirus in Women Without
Cervical Cancer: A Population-based Study in Eastern India",cross-sectional ,2010,Asia,Southern Asia,India,West Bengal,Both ,Predominantly normal ,Conventional ,screening,"16, 18, overall ",MY09/11,114,11,NA,16,1,0.00877193,Table 4
4OG,"Dutta et al, 2012","Prevalence of Human Papillomavirus in Women Without
Cervical Cancer: A Population-based Study in Eastern India",cross-sectional ,2010,Asia,Southern Asia,India,West Bengal,Both ,Predominantly normal ,Conventional ,screening,"16, 18, overall",MY09/11,114,11,NA,18,1,0.00877193,Table 4
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting ,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,16,12,0.011417697,Fig 3
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,screening,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,"18,45",5,0.004757374,Fig 3
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting ,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,31,6,0.005708849,Fig 3
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting ,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,"33, 52, 58",9,0.008563273,Fig 3
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting ,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,35,3,0.002854424,Fig 3
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting ,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,39,4,0.003805899,Fig 3
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting ,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,51,4,0.003805899,Fig 3
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting ,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,56,3,0.002854424,Fig 3
8HG,"Hermansson et al., 2018",HPV prevalence and HPV-related dysplasia in elderly women,retrospective,2015,Europe,Northern Europe,Sweden,Mora,Older,Predominantly normal ,LBC,clinical setting ,"16, 18/45, 31, 33/52/58, 35, 39, 51, 56, 59",other PCR,1051,NA,43,59,2,0.00190295,Fig 3
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,16,113,0.061048082,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,18,31,0.016747704,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,31,31,0.016747704,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,33,46,0.024851432,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,35,24,0.012965964,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,39,27,0.01458671,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,45,10,0.005402485,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,51,60,0.032414911,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,52,149,0.080497029,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,56,71,0.038357645,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,58,83,0.044840627,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,59,45,0.024311183,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,66,61,0.032955159,Table 2 
6OHG,"Jin et al., 2019","The prevalence and genotype distribution of
human papillomaviruses among women in
Taizhou, China",retrospective,2018,Asia ,Eastern Asia,China ,Taizhou,Both ,Predominantly normal ,NA,clinical setting ,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",other PCR,1851,745,650,68,61,0.032955159,Table 2 
10OHG,"Richter et al., 2013","Age-specific prevalence of cervical human
papillomavirus infection and cytological abnormalities in women in Gauteng Province, South Africa",cross-sectional ,2011,Africa,Southern Africa,South Africa,Gauteng,Both ,Predominantly normal ,conventional ,screening,"16, 18, 16/18",LA,325,137,82,16,19,0.058461538,Table 1
10OHG,"Richter et al., 2013","Age-specific prevalence of cervical human
papillomavirus infection and cytological abnormalities in women in Gauteng Province, South Africa",cross-sectional ,2011,Africa,Southern Africa,South Africa,Gauteng,Both ,Predominantly normal ,conventional ,screening,"16, 18, 16/18",LA,325,137,82,18,14,0.043076923,Table 1
10OHG,"Richter et al., 2013","Age-specific prevalence of cervical human
papillomavirus infection and cytological abnormalities in women in Gauteng Province, South Africa",cross-sectional ,2011,Africa,Southern Africa,South Africa,Gauteng,Both ,Predominantly normal ,conventional ,screening,"16, 18, 16/18",LA,325,137,82,"16,18",33,0.101538462,Table 1
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",multiple,7252,NA,503,16,96,0.013237728,Table 3
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",multiple,7252,NA,503,18,30,0.00413679,Table 3
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",mulitple,7252,NA,503,31,50,0.00689465,Table 3
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",multiple,7252,NA,503,45,24,0.003309432,Table 3
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",mulitple,7252,NA,503,"33,58",54,0.007446222,Table 3
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",multiple,7252,NA,503,"35,39,68",139,0.019167126,Table 3
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",multiple,7252,NA,503,51,21,0.002895753,Table 3
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",multiple,7252,NA,503,52,80,0.01103144,Table 3
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66",multiple,7252,NA,503,"56,59,66",125,0.017236624,Table 3
17HG,"Wu et al., 2017","A cross-sectional study on HPV testing with type 16/18 genotyping for cervical cancer screening in 11,064 Chinese women",prospective,2015,Asia,Eastern Asia,China,Longyou County,Both ,Predominantly normal ,LBC,general population,"HR-HPV, 16/18",Cobas,3859,NA,447,"16,18",109,0.028245659,Figure 3
16OHG,"Brotherton et al., 2015",Human papillomavirus prevalence to age 60 years among Australian women prevaccination,cross-sectional ,2008,Oceania,Austraiia and New Zealand,Australia,NA,Both ,Predominantly normal ,LBC,clinical setting ,"HR-HPV, 6/11/16/18, 16/18",PGMY09/11,135,23,12,6/11/16/18,5,0.037037037,Table 1
16OHG,"Brotherton et al., 2015",Human papillomavirus prevalence to age 60 years among Australian women prevaccination,cross-sectional ,2008,Oceania,Austraiia and New Zealand,Australia,NA,Both ,Predominantly normal ,LBC,clinical setting ,"HR-HPV, 6/11/16/18, 16/18",PGMY09/11,135,23,12,16/18,5,0.037037037,Table1
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,16,26.603,0.018246228,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,18,8.788,0.006027435,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,31,8.466,0.005806584,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,33,4.568,0.003133059,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,35,7.889,0.005410837,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,39,4.233,0.002903292,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,45,2.864,0.001964335,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,51,6.833,0.004686557,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,52,7.152,0.00490535,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,56,15.759,0.010808642,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
